,flux,reaction,metabolite
EX_C02528_medium,1e-06,EX_C02528_medium,C02528_medium
EX_Lcystin_medium,1e-06,EX_Lcystin_medium,Lcystin_medium
EX_MGlcn102_rl_medium,1e-06,EX_MGlcn102_rl_medium,MGlcn102_rl_medium
EX_MGlcn103_rl_medium,1e-06,EX_MGlcn103_rl_medium,MGlcn103_rl_medium
EX_MGlcn10_medium,1e-06,EX_MGlcn10_medium,MGlcn10_medium
EX_MGlcn146_rl_medium,9.784483957048794e-07,EX_MGlcn146_rl_medium,MGlcn146_rl_medium
EX_MGlcn152_medium,1e-06,EX_MGlcn152_medium,MGlcn152_medium
EX_MGlcn152_rl_medium,1e-06,EX_MGlcn152_rl_medium,MGlcn152_rl_medium
EX_MGlcn164_medium,1e-06,EX_MGlcn164_medium,MGlcn164_medium
EX_MGlcn164_rl_medium,1e-06,EX_MGlcn164_rl_medium,MGlcn164_rl_medium
EX_MGlcn165_medium,1e-06,EX_MGlcn165_medium,MGlcn165_medium
EX_MGlcn165_rl_medium,1e-06,EX_MGlcn165_rl_medium,MGlcn165_rl_medium
EX_MGlcn166_medium,1e-06,EX_MGlcn166_medium,MGlcn166_medium
EX_MGlcn166_rl_medium,1e-06,EX_MGlcn166_rl_medium,MGlcn166_rl_medium
EX_MGlcn174_medium,1e-06,EX_MGlcn174_medium,MGlcn174_medium
EX_MGlcn174_rl_medium,1e-06,EX_MGlcn174_rl_medium,MGlcn174_rl_medium
EX_MGlcn175_medium,1e-06,EX_MGlcn175_medium,MGlcn175_medium
EX_MGlcn175_rl_medium,1e-06,EX_MGlcn175_rl_medium,MGlcn175_rl_medium
EX_MGlcn176_medium,1e-06,EX_MGlcn176_medium,MGlcn176_medium
EX_MGlcn176_rl_medium,1e-06,EX_MGlcn176_rl_medium,MGlcn176_rl_medium
EX_MGlcn178_medium,1e-06,EX_MGlcn178_medium,MGlcn178_medium
EX_MGlcn178_rl_medium,1e-06,EX_MGlcn178_rl_medium,MGlcn178_rl_medium
EX_MGlcn181_medium,1e-06,EX_MGlcn181_medium,MGlcn181_medium
EX_MGlcn181_rl_medium,1e-06,EX_MGlcn181_rl_medium,MGlcn181_rl_medium
EX_MGlcn18_medium,1e-06,EX_MGlcn18_medium,MGlcn18_medium
EX_MGlcn18_rl_medium,1e-06,EX_MGlcn18_rl_medium,MGlcn18_rl_medium
EX_MGlcn33_medium,1e-06,EX_MGlcn33_medium,MGlcn33_medium
EX_MGlcn33_rl_medium,1e-06,EX_MGlcn33_rl_medium,MGlcn33_rl_medium
EX_MGlcn40_medium,1e-06,EX_MGlcn40_medium,MGlcn40_medium
EX_MGlcn40_rl_medium,1e-06,EX_MGlcn40_rl_medium,MGlcn40_rl_medium
EX_MGlcn54_medium,5.770142605268415e-07,EX_MGlcn54_medium,MGlcn54_medium
EX_MGlcn59_rl_medium,3.740888707646117e-07,EX_MGlcn59_rl_medium,MGlcn59_rl_medium
EX_MGlcn5_medium,1e-06,EX_MGlcn5_medium,MGlcn5_medium
EX_MGlcn5_rl_medium,1e-06,EX_MGlcn5_rl_medium,MGlcn5_rl_medium
EX_MGlcn63_medium,1e-06,EX_MGlcn63_medium,MGlcn63_medium
EX_MGlcn63_rl_medium,3.7638499545858216e-07,EX_MGlcn63_rl_medium,MGlcn63_rl_medium
EX_MGlcn65_medium,1e-06,EX_MGlcn65_medium,MGlcn65_medium
EX_MGlcn65_rl_medium,1e-06,EX_MGlcn65_rl_medium,MGlcn65_rl_medium
EX_MGlcn67_medium,1e-06,EX_MGlcn67_medium,MGlcn67_medium
EX_MGlcn67_rl_medium,1e-06,EX_MGlcn67_rl_medium,MGlcn67_rl_medium
EX_MGlcn7_rl_medium,1e-06,EX_MGlcn7_rl_medium,MGlcn7_rl_medium
EX_MGlcn81_medium,1e-06,EX_MGlcn81_medium,MGlcn81_medium
EX_MGlcn81_rl_medium,1e-06,EX_MGlcn81_rl_medium,MGlcn81_rl_medium
EX_MGlcn8_medium,1e-06,EX_MGlcn8_medium,MGlcn8_medium
EX_MGlcn9_rl_medium,1e-06,EX_MGlcn9_rl_medium,MGlcn9_rl_medium
EX__12dgr180_medium,6.113302794883788e-07,EX__12dgr180_medium,_12dgr180_medium
EX__12dhchol_medium,1e-06,EX__12dhchol_medium,_12dhchol_medium
EX__12ppd_S_medium,1e-06,EX__12ppd_S_medium,_12ppd_S_medium
EX__26dap_M_medium,1e-06,EX__26dap_M_medium,_26dap_M_medium
EX__2ddglcn_medium,1e-06,EX__2ddglcn_medium,_2ddglcn_medium
EX__2obut_medium,1e-06,EX__2obut_medium,_2obut_medium
EX__3dhcdchol_medium,1e-06,EX__3dhcdchol_medium,_3dhcdchol_medium
EX__3dhchol_medium,1e-06,EX__3dhchol_medium,_3dhchol_medium
EX__3mop_medium,3.54406686140169e-07,EX__3mop_medium,_3mop_medium
EX__4hpro_LT_medium,1e-06,EX__4hpro_LT_medium,_4hpro_LT_medium
EX__5mta_medium,1e-06,EX__5mta_medium,_5mta_medium
EX__7dhcdchol_medium,1e-06,EX__7dhcdchol_medium,_7dhcdchol_medium
EX__7ocholate_medium,1e-06,EX__7ocholate_medium,_7ocholate_medium
EX_acac_medium,1e-06,EX_acac_medium,acac_medium
EX_acald_medium,1e-06,EX_acald_medium,acald_medium
EX_acgam_medium,1e-06,EX_acgam_medium,acgam_medium
EX_acnam_medium,1e-06,EX_acnam_medium,acnam_medium
EX_actn_R_medium,1e-06,EX_actn_R_medium,actn_R_medium
EX_ade_medium,1e-06,EX_ade_medium,ade_medium
EX_adn_medium,1e-06,EX_adn_medium,adn_medium
EX_akg_medium,1e-06,EX_akg_medium,akg_medium
